navn;Antall;
1 HANSEN;52135;
2 JOHANSEN;49405;
3 OLSEN;48375;
4 LARSEN;37329;
5 ANDERSEN;36591;
6 PEDERSEN;34686;
7 NILSEN;34129;
8 KRISTIANSEN;23071;
9 JENSEN;22608;
10 KARLSEN;20865;
11 JOHNSEN;20453;
12 PETTERSEN;19855;
13 ERIKSEN;18956;
14 BERG;17962;
15 HAUGEN;14268;
16 HAGEN;13905;
17 JOHANNESSEN;13092;
18 ANDREASSEN;11906;
19 JACOBSEN;11815;
20 DAHL;11457;
21 JØRGENSEN;11344;
22 HALVORSEN;11282;
23 HENRIKSEN;11245;
24 LUND;11196;
25 SØRENSEN;10643;
26 JAKOBSEN;10499;
27 MOEN;10202;
28 GUNDERSEN;10118;
29 IVERSEN;10005;
30 STRAND;9843;
31 SVENDSEN;9781;
32 SOLBERG;9726;
33 MARTINSEN;8467;
34 KNUTSEN;8439;
35 EIDE;8412;
36 PAULSEN;8317;
37 BAKKEN;7792;
38 KRISTOFFERSEN;7765;
39 MATHISEN;7528;
40 LIE;7441;
41 AMUNDSEN;7216;
42 RASMUSSEN;7144;
43 NGUYEN;6970;
44 LUNDE;6922;
45 BERGE;6874;
46 SOLHEIM;6847;
47 MOE;6841;
48 BAKKE;6841;
49 NYGÅRD;6831;
50 KRISTENSEN;6827;
51 FREDRIKSEN;6752;
52 ALI;6616;
53 HOLM;6538;
54 LIEN;6426;
55 HAUGE;6334;
56 ANDRESEN;6312;
57 CHRISTENSEN;6265;
58 KNUDSEN;6157;
59 NIELSEN;6137;
60 EVENSEN;5957;
61 SÆTHER;5876;
62 AAS;5820;
63 HANSSEN;5784;
64 MYHRE;5767;
65 HAUGLAND;5720;
66 THOMASSEN;5655;
67 SIVERTSEN;5647;
68 SIMONSEN;5593;
69 BERNTSEN;5497;
70 DANIELSEN;5466;
71 AHMED;5450;
72 RØNNING;5285;
73 SANDVIK;5237;
74 ARNESEN;5196;
75 NÆSS;5125;
76 ANTONSEN;5099;
77 HAUG;5034;
78 VIK;5004;
79 ELLINGSEN;4914;
80 EDVARDSEN;4870;
81 THORSEN;4864;
82 BIRKELAND;4763;
83 ISAKSEN;4733;
84 GULBRANDSEN;4673;
85 RUUD;4625;
86 STRØM;4457;
87 AASEN;4440;
88 MYKLEBUST;4379;
89 TANGEN;4353;
90 ØDEGÅRD;4352;
91 ELIASSEN;4310;
92 JENSSEN;4284;
93 BØE;4249;
94 HELLAND;4245;
95 MIKKELSEN;4225;
96 AUNE;4224;
97 TVEIT;4015;
98 BREKKE;3970;
99 ABRAHAMSEN;3897;
100 MADSEN;3819;
101 ENGEN;3814;
102 CHRISTIANSEN;3780;
103 SUNDE;3651;
104 BJERKE;3602;
105 MORTENSEN;3597;
106 TORGERSEN;3565;
107 THORESEN;3527;
108 HERMANSEN;3489;
109 MIKALSEN;3475;
110 MAGNUSSEN;3467;
111 GJERDE;3427;
112 HELGESEN;3411;
113 HOVLAND;3410;
114 NILSSEN;3407;
115 WOLD;3381;
116 BRÅTHEN;3370;
117 DALE;3357;
118 DAHLE;3308;
