navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
AARON;31;27;38;30;19;20;19;21;22;14;
ABBAS;:;:;10;5;6;8;8;5;5;5;
ABDIRAHMAN;13;18;22;21;29;24;27;27;34;32;
ABDUL;9;11;10;13;9;15;12;12;18;28;
ABDULLAH;17;15;22;17;24;26;24;15;29;17;
ABDULLAHI;10;5;11;11;13;7;11;10;19;11;
ABDULRAHMAN;:;4;6;5;4;7;6;7;12;8;
ABEL;50;25;52;33;20;18;7;12;15;8;
ADAM;167;159;166;155;142;144;142;130;120;105;
ADRIAN;175;229;242;242;282;318;352;392;410;395;
AHMAD;19;29;25;23;30;32;41;25;40;40;
AHMED;38;41;36;40;54;46;46;49;50;47;
AIDEN;17;20;22;14;21;15;13;11;11;8;
AILO;37;38;31;29;46;45;37;17;16;14;
AKRAM;11;12;8;7;6;8;4;7;6;4;
AKSEL;247;314;301;302;254;224;240;264;237;146;
ALAN;23;25;39;26;33;33;23;31;22;21;
ALBERT;101;98;96;78;72;74;84;61;60;65;
ALBIN;5;:;8;6;:;5;9;4;7;10;
ALEKSANDER;104;108;152;116;127;143;146;157;172;155;
ALEX;19;33;38;33;30;31;38;37;45;31;
ALEXANDER;178;214;210;202;261;279;262;269;346;282;
ALF;17;14;14;17;8;11;13;11;12;9;
ALFRED;145;147;152;126;107;87;85;63;50;43;
ALI;42;48;55;50;58;68;65;69;57;52;
ALVAR;14;16;7;7;14;:;8;5;:;7;
ALVIN;31;33;37;39;36;31;39;33;28;27;
AMADEUS;8;7;4;8;5;4;11;8;:;7;
AMANDUS;7;11;4;7;11;8;9;8;7;5;
AMAR;8;9;4;7;8;6;8;10;7;6;
AMIN;11;:;10;11;15;10;13;15;10;11;
AMIR;39;39;29;29;31;27;35;34;31;25;
AMUND;65;56;61;59;54;65;54;74;47;81;
ANAS;16;29;18;24;25;17;23;16;26;25;
ANDERS;29;26;36;42;27;27;72;105;95;127;
ANDRE;13;16;21;20;21;18;39;40;32;45;
ANDREAS;165;184;172;201;222;230;306;326;367;413;
ANTHONY;4;4;:;14;9;6;11;5;12;9;
ANTON;91;91;91;79;114;96;76;87;82;54;
ANTONI;27;30;25;18;12;22;22;10;12;11;
ANTONIO;6;6;5;8;5;7;10;10;8;7;
ARAS;10;4;7;7;7;4;4;:;:;:;
ARE;4;5;13;10;8;11;9;8;13;14;
ARIAN;26;36;33;43;29;33;25;42;39;29;
ARIJUS;7;4;10;6;4;:;:;5;:;:;
ARIN;:;4;8;7;5;9;13;7;9;11;
ARMAN;15;8;15;15;14;14;14;14;16;16;
ARMIN;8;7;8;13;9;10;5;7;9;5;
ARN;9;14;8;19;15;11;19;20;23;18;
ARNAS;6;11;4;5;11;7;10;5;11;7;
ARNE;18;25;20;26;35;21;25;28;34;25;
ARON;120;123;120;118;111;135;149;146;138;123;
ARONAS;13;13;7;6;5;6;:;:;:;:;
ARTHUR;52;34;27;41;27;33;24;19;21;19;
ARTUR;5;11;11;:;12;9;10;10;4;7;
ARVID;10;12;9;9;7;11;8;8;8;7;
ARVIN;12;11;12;7;13;8;7;9;10;9;
ARYAN;13;18;13;16;10;15;10;18;21;17;
ASBJØRN;6;8;10;14;15;9;6;11;16;12;
ASK;56;68;51;61;63;59;62;63;62;66;
ASKIL;:;5;:;4;5;5;7;6;11;10;
ASLAK;32;35;33;22;27;34;25;35;31;31;
AUDUN;24;24;24;17;24;24;27;20;30;27;
AUGUST;66;79;81;77;71;78;88;66;75;84;
AUGUSTAS;10;6;6;:;10;6;4;7;4;:;
AUNE;:;4;:;5;6;12;10;8;4;6;
AXEL;63;74;85;56;71;66;68;63;63;44;
AYAAN;7;5;15;12;4;8;9;8;9;6;
AYAN;10;6;7;4;6;7;6;6;4;8;
AYMAN;15;8;12;7;9;8;6;8;13;10;
AYOUB;:;:;:;10;6;5;5;6;6;6;
AYUB;14;9;14;12;10;15;10;10;8;:;
BALDER;16;12;9;18;11;20;14;18;29;28;
BARTOSZ;:;:;:;8;4;8;11;13;16;8;
BASTIAN;41;45;44;30;29;40;43;30;31;18;
BEN;7;7;8;9;6;5;5;10;5;6;
BENAS;15;16;12;14;:;13;7;:;4;:;
BENDIK;35;33;19;15;27;25;33;22;30;44;
BENJAMIN;207;263;258;268;248;263;300;325;341;339;
BERNARD;7;8;8;8;10;4;6;:;5;5;
BERNHARD;7;10;10;8;8;16;10;10;9;9;
BILAL;12;13;13;6;13;11;14;13;13;18;
BILLY;12;:;6;6;4;4;6;:;6;:;
BIRK;107;90;76;78;74;88;85;82;85;84;
BJØRN;52;62;37;57;65;59;49;71;60;63;
BJØRNAR;10;5;15;9;14;16;24;18;27;30;
BO;26;17;23;23;19;21;18;22;21;13;
BRAGE;110;121;129;144;132;130;136;133;119;142;
BREDE;14;9;9;14;13;19;23;17;18;21;
BRIAN;15;9;9;12;17;18;14;22;19;17;
BROR;12;6;7;6;8;7;12;15;15;14;
BRUNO;5;5;10;15;8;7;:;4;4;7;
