navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
ABIGAIL;17;13;11;10;17;18;7;11;11;8;
ADA;180;156;130;110;128;129;108;95;99;92;
ADELA;8;8;4;7;6;5;6;4;11;4;
ADELE;26;35;45;48;69;79;59;49;50;59;
ADELEN;41;51;49;37;50;6;7;9;:;:;
ADELINA;13;9;11;10;6;7;6;6;5;5;
ADINA;4;6;6;7;4;6;:;:;10;8;
ADINE;10;6;5;9;8;10;7;8;11;12;
ADNA;4;4;10;7;:;:;:;5;7;4;
ADRIANA;16;21;18;19;19;25;24;25;30;18;
AGATHE;8;10;7;12;12;7;8;14;9;14;
AGNES;103;118;100;140;95;82;99;79;69;67;
AGNETHE;:;:;6;:;:;:;:;4;12;8;
AHLAM;6;10;4;:;4;10;8;7;4;:;
AIDA;13;19;12;11;12;11;16;16;10;10;
AILA;8;5;5;11;6;6;6;5;8;6;
AILIN;7;5;7;7;7;7;4;10;11;7;
AINA;6;:;16;7;11;15;7;8;12;6;
AISHA;35;51;31;47;40;40;39;39;47;27;
AIZA;:;:;7;11;4;6;:;:;:;4;
ALBA;28;22;25;19;14;20;17;18;10;10;
ALEA;14;4;16;11;6;12;9;6;5;:;
ALEENA;:;:;10;:;6;:;:;5;5;:;
ALEKSANDRA;17;25;23;32;35;24;37;32;25;36;
ALETTE;7;12;7;12;7;9;4;8;7;11;
ALEXANDRA;51;66;63;49;69;84;70;82;89;89;
ALIA;13;11;7;4;5;5;6;:;4;:;
ALICE;27;43;51;30;31;35;30;30;26;24;
ALICIA;21;13;26;23;22;18;17;19;14;17;
ALICJA;15;16;13;14;7;15;15;13;14;7;
ALIDA;26;32;48;29;37;29;37;43;30;30;
ALINA;56;65;142;48;37;41;36;24;34;26;
ALINE;11;14;18;12;14;15;9;7;5;9;
ALISA;13;9;20;8;19;8;12;16;9;4;
ALISE;12;18;21;13;10;13;22;21;12;11;
ALISHA;7;5;4;7;6;:;7;11;5;9;
ALIYA;7;10;7;:;6;4;6;4;:;:;
ALMA;239;209;194;163;189;164;162;146;134;96;
ALVA;109;91;89;106;119;127;122;139;105;86;
ALVILDE;20;27;17;22;27;26;23;13;20;14;
AMAL;6;7;5;5;7;5;7;7;11;4;
AMALIA;8;14;12;8;13;10;8;5;14;6;
AMALIE;228;218;249;254;285;311;304;344;306;314;
AMANDA;150;204;135;141;174;145;154;117;144;139;
AMELIA;132;126;113;103;97;86;85;72;77;60;
AMELIE;26;22;18;30;31;16;12;18;22;25;
AMELIJA;9;6;12;8;11;7;:;4;5;:;
AMINA;36;33;41;51;48;38;39;40;41;39;
AMINDA;4;5;4;6;10;:;4;:;:;4;
AMINE;7;9;4;8;:;10;9;5;9;6;
AMIRA;25;19;26;20;25;14;28;13;25;20;
AMNA;6;4;:;:;7;6;6;15;12;11;
AMY;7;10;8;6;12;18;8;9;13;18;
ANA;11;:;18;9;8;12;16;18;19;8;
ANASTASIA;9;16;10;8;10;5;8;9;9;11;
ANAYA;11;12;:;9;6;6;5;5;:;6;
ANDREA;94;113;120;107;127;137;161;187;211;249;
