Tettsted;Kommune;Folkemengde;Folkemengde;Areal, km2;Areal, km2;Areal, km2;
I alt;Fordelt på kommune;I alt;Fordelt på kommune;Innbyggere pr. km2;
I alt; ;4283166; ;2190,85; ;1955;
 ; ; ; ; ; ; ;
0001 Halden;0101 Halden;25300; ;14,21; ;1780;
0002 Sponvika;0101 Halden;526; ;0,40; ;1315;
0003 Isebakke;0101 Halden;869; ;1,47; ;591;
0012 Hasle;0105 Sarpsborg;675; ;0,64; ;1055;
0013 Stikkaåsen;0105 Sarpsborg;228; ;0,14; ;1629;
0022 Fredrikstad/Sarpsborg i alt; ;111267;.;58,22;.;1911;
 ;0105 Sarpsborg;.;45852;.;23,91;1918;
 ;0106 Fredrikstad;.;65415;.;34,31;1907;
0031 Moss i alt; ;46618;.;21,75;.;2143;
 ;0104 Moss;.;31855;.;13,49;2361;
 ;0136 Rygge;.;8701;.;4,46;1951;
 ;0211 Vestby;.;6062;.;3,80;1595;
0033 Såstadbråten;0136 Rygge;425; ;.; ;1574;
0041 Skjærhalden;0111 Hvaler;881; ;.; ;1013;
0042 Rød;0111 Hvaler;611; ;.; ;1651;
0043 Hauge;0111 Hvaler;392; ;.; ;933;
0044 Utgård;0111 Hvaler;303; ;.; ;977;
0045 Norderhaug;0111 Hvaler;530; ;.; ;1128;
0051 Skivika i alt; ;1060;.;0,48;.;2208;
 ;0105 Sarpsborg;.;23;.;0,01;2300;
 ;0106 Fredrikstad;.;1037;.;0,47;2206;
0053 Glosli;0106 Fredrikstad;752; ;0,55; ;1367;
0054 Holm;0106 Fredrikstad;217; ;0,23; ;943;
0061 Ise;0105 Sarpsborg;749; ;0,63; ;1189;
0071 Skjeberg;0105 Sarpsborg;1400; ;0,89; ;1573;
0072 Høysand;0105 Sarpsborg;769; ;0,85; ;905;
0081 Ørje;0119 Marker;1852; ;1,70; ;1089;
0091 Skjønhaug;0122 Trøgstad;2039; ;1,72; ;1185;
0092 Hamnås;0122 Trøgstad;202; ;0,24; ;842;
0093 Heiås;0122 Trøgstad;837; ;0,82; ;1021;
0101 Spydeberg i alt; ;5824;.;.;.;1618;
 ;0123 Spydeberg;.;4290;.;2,90;1479;
 ;0138 Hobøl;.;1534;.;0,70;2191;
0111 Askim;0124 Askim;14259; ;7,41; ;1924;
0121 Mysen;0125 Eidsberg;6513; ;4,78; ;1363;
0122 Slitu;0125 Eidsberg;749; ;0,66; ;1135;
0123 Trømborg;0125 Eidsberg;269; ;0,22; ;1223;
0124 Finnestad;0125 Eidsberg;200; ;0,19; ;1053;
0125 Jansberg;0125 Eidsberg;249; ;0,17; ;1465;
0131 Skiptvet;0127 Skiptvet;1728; ;1,14; ;1516;
0141 Rakkestad;0128 Rakkestad;4634; ;3,46; ;1339;
0142 Degernes;0128 Rakkestad;319; ;0,32; ;997;
0151 Jelsnes;0105 Sarpsborg;310; ;0,21; ;1476;
0161 Rostadneset;0106 Fredrikstad;280; ;0,14; ;2000;
0171 Alshus;0106 Fredrikstad;1401; ;0,78; ;1796;
0172 Buskogen;0106 Fredrikstad;366; ;0,24; ;1525;
0173 Trolldalen;0106 Fredrikstad;454; ;0,37; ;1227;
0181 Øyenkilen;0106 Fredrikstad;313; ;0,39; ;803;
0182 Slevik;0106 Fredrikstad;1033; ;0,77; ;1342;
0185 Lervik;0106 Fredrikstad;2991; ;2,30; ;1300;
0191 Spetalen i alt; ;2265; ;1,61;.;1407;
 ;0106 Fredrikstad;.;96;.;0,12;800;
 ;0135 Råde;.;2169;.;1,49;1456;
0193 Karlshus;0135 Råde;2233; ;1,95; ;1145;
0194 Missingmyr;0135 Råde;827; ;0,79; ;1047;
0195 Tomb;0135 Råde;261; ;0,39; ;669;
0201 Ryggebyen i alt; ;2515;.;1,71;.;1471;
 ;0135 Råde; ;86;.;0,15;573;
